"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.216449077,     -0.7589997443,     -0.3099898665,     -0.2162319838
          0,           0,           1,      -2.293760521,     -0.7920620292,     -0.3378393899,      0.6907978889
          0,           0,           2,      -2.203093387,     -0.8415052293,     -0.3755669708,      0.7656947759
          0,           0,           3,      -2.179450671,     -0.9006072236,     -0.4110915996,      0.7785902858
          0,           0,           4,      -2.156676858,      -0.924323098,     -0.4391400649,      0.8052265517
          0,           0,           5,      -2.172525066,     -0.9736683519,     -0.4675370318,      0.7961093316
          0,           0,           6,      -2.182872174,      -0.962124459,     -0.4820819206,      0.7856642586
          0,           0,           7,      -2.154294826,     -0.8956653926,     -0.4544498728,      0.8083332552
          0,           0,           8,      -2.115802375,     -0.8832624471,     -0.3975561528,      0.8512162977
          0,           0,           9,      -2.105211308,      -0.860939845,     -0.3765539627,      0.8623783201
          0,           0,          10,      -2.071671818,     -0.8553429815,     -0.3538745604,      0.8931087944
          0,           0,          11,      -2.042474781,     -0.8617663049,     -0.3431551318,      0.9151650056
          0,           0,          12,      -2.012648468,     -0.8593829843,     -0.3345157866,      0.9392649421
          0,           0,          13,      -1.989572599,      -0.808005319,      -0.328244915,      0.9737103078
          0,           0,          14,      -1.965658959,      -0.813787336,      -0.318844422,       1.017637407
          0,           0,          15,      -1.953425712,     -0.8119130318,     -0.3151050042,       1.044564599
          0,           0,          16,      -1.947191502,     -0.7934018044,     -0.3145601205,       1.052574599
          0,           0,          17,      -1.928255131,     -0.7932888475,     -0.3171519595,       1.060716515
          0,           0,          18,      -1.921472734,     -0.7838854934,     -0.3180527167,       1.069542631
          0,           0,          19,      -1.914655513,     -0.7962545744,     -0.3097729131,       1.089059852
          0,           0,          20,      -1.904959102,     -0.7581526934,     -0.3081412864,       1.107003044
          0,           0,          21,      -1.904972934,     -0.7560299955,     -0.2963968115,       1.149203434
          0,           0,          22,        -1.8946063,     -0.7331260947,     -0.2683729325,       1.187769918
          0,           0,          23,      -1.864829011,     -0.7152492038,     -0.2555156866,       1.228485321
          0,           0,          24,          -1.86204,     -0.6895489053,     -0.2777197236,       1.232414178
          0,           0,          25,      -1.853767439,     -0.6757579378,     -0.2679390079,       1.241355079
          0,           0,          26,      -1.834482357,     -0.6439246686,     -0.2528172302,        1.27932492
          0,           0,          27,      -1.818152715,     -0.6485849155,     -0.2085186306,       1.382755233
          0,           0,          28,      -1.797423234,     -0.6574355384,     -0.2077268996,        1.47708078
          0,           0,          29,      -1.787255581,     -0.6002963108,      -0.152504995,        1.55490228
          0,           0,          30,       -1.76225272,     -0.5646892699,     -0.1415252667,       1.610378233
          0,           0,          31,      -1.747706408,     -0.5885665125,     -0.1409874264,         1.6266095
          0,           0,          32,      -1.732758648,      -0.486043791,    -0.05052684334,       1.791968774
          0,           0,          33,      -1.767556867,     -0.5551967326,     -0.1022385376,       1.693676128
          0,           0,          34,      -1.718670061,     -0.4219386593,    -0.03466889459,       1.795104545
          0,           0,          35,      -1.755059097,     -0.4093869774,     -0.1144625462,       1.650071543
          0,           0,          36,      -1.715071532,     -0.3409898338,   -0.004096862038,       1.910015784
          0,           0,          37,      -1.732854054,     -0.3730721689,      -0.038145774,       1.822766778
          0,           0,          38,      -1.706136977,     -0.2653361452,     0.07978910048,       2.006400267
          0,           0,          39,      -1.724636665,     -0.3329737917,    -0.02355761481,       1.875253852
          0,           0,          40,      -1.729405644,     -0.3773267097,    -0.07757737842,       1.776837657
          0,           0,          41,      -1.741632858,     -0.3935236041,      -0.120373269,       1.673520336
          0,           0,          42,      -1.722918862,     -0.3682155509,     -0.1200449384,       1.692275372
          0,           0,          43,      -1.716454544,     -0.3360632172,    -0.04900491403,       1.727879091
          0,           0,          44,      -1.699593245,     -0.2901474029,    -0.02488954324,       1.829293871
          0,           0,          45,      -1.689319609,     -0.3012500922,    0.003403415879,       1.837959156
          0,           0,          46,       -1.69730316,     -0.2803563829,    -0.04882469722,       1.742398453
          0,           0,          47,       -1.69555981,     -0.2255597345,    0.006492204773,       1.806454539
          0,           0,          48,      -1.683468049,     -0.2306215688,     0.03066475858,       1.823371359
          0,           0,          49,      -1.675671431,     -0.2209761424,    -0.02028885355,       1.713226969
          0,           0,          50,      -1.687057924,     -0.1774096386,     0.03648016462,       1.846641806
          0,           0,          51,      -1.664233979,     -0.1158559302,     0.01593803054,       1.965604061
          0,           0,          52,      -1.652916432,     -0.1793206327,     0.01378303511,       1.920083612
          0,           0,          53,      -1.654651003,     -0.2337784674,    0.005379593306,       1.806891328
          0,           0,          54,      -1.619487179,     -0.2576032934,    -0.03344251271,       1.840171673
          0,           0,          55,      -1.633575614,     -0.2189612252,    -0.03639304859,       1.734863174
          0,           0,          56,      -1.611033384,     -0.1498084208,      0.0393756571,       1.907608888
          0,           0,          57,      -1.615920617,     -0.2383614214,    -0.01736484841,       1.716570045
          0,           0,          58,      -1.633124324,     -0.2674966556,   -0.006194702017,       1.779745592
          0,           0,          59,      -1.634737444,  -0.0009049986114,     0.06210892184,       1.990674492
          0,           0,          60,      -1.621319618,     -0.2417397574,     0.06647722916,       1.829116926
          0,           0,          61,      -1.592798316,    -0.08998894629,     0.03528367966,        2.03212713
          0,           0,          62,      -1.588801142,    -0.04034077376,     0.05915589716,       2.065044101
          0,           0,          63,       -1.56021746,    -0.02265059077,     0.04633246902,       2.069114809
          0,           0,          64,      -1.571668125,    -0.04083450304,     0.08202367621,       2.054997826
          0,           0,          65,      -1.575875003,     -0.0488434675,     0.07815371927,       2.041013409
          0,           0,          66,      -1.568087852,    -0.06880877199,     0.06985587746,       2.037541437
          0,           0,          67,      -1.591253747,    -0.05787067324,     0.04859001682,       2.008872438
          0,           0,          68,      -1.584832033,    -0.06699651804,     0.07052787616,       2.039273126
          0,           0,          69,      -1.585320927,    -0.08439023499,     0.09435079341,       2.024903993
          0,           0,          70,      -1.549265231,    -0.07000120326,      0.1548765927,        2.00603842
          0,           0,          71,      -1.534525572,     0.01839827662,      0.1399876412,       2.074891868
          0,           0,          72,       -1.51813633,    -0.01384265336,      0.1224556796,       2.329289167
          0,           0,          73,      -1.449325551,     0.02946396111,      0.2420181025,       2.276076705
          0,           0,          74,      -1.535167887,    0.003585130766,     0.08308809935,       2.052005811
          0,           0,          75,      -1.390714171,     0.01230552423,       0.325855048,       2.418047395
          0,           0,          76,      -1.529103368,      0.2316808553,      0.1881252491,       2.379348636
          0,           0,          77,      -1.344463392,       0.146298161,      0.3647511201,       2.538652006
          0,           0,          78,      -1.504717177,     0.02072475381,      0.1473377206,       2.065471454
          0,           0,          79,      -1.466260844,    -0.01895909649,      0.2030084294,       2.133829947
          0,           0,          80,      -1.489750457,     0.03151442483,      0.1475536791,       2.112846901
          0,           0,          81,       -1.47503622,     0.09590750253,      0.1365246599,       2.163176038
          0,           0,          82,      -1.471282383,     0.07579924019,      0.2153538529,       2.179574362
          0,           0,          83,       -1.47166505,     0.09075544592,      0.1977311658,       2.247552992
          0,           0,          84,      -1.439418355,      0.1731819965,      0.2725126279,       2.417856684
          0,           0,          85,      -1.427344321,      0.1530275314,      0.2799620653,       2.478414931
          0,           0,          86,      -1.418981056,      0.1547671706,      0.2920046569,       2.528350652
          0,           0,          87,      -1.430517883,      0.1487960134,      0.2827392202,       2.477981277
          0,           0,          88,      -1.439381129,      0.1571280485,      0.2980970406,       2.515727706
          0,           0,          89,      -1.431945474,      0.1721683521,      0.3078325553,       2.523120931
          0,           0,          90,      -1.424445759,       0.215214119,      0.3471464324,       2.556190298
          0,           0,          91,      -1.435605343,      0.1822901243,      0.3592861909,       2.610009105
          0,           0,          92,      -1.442491841,      0.1442758032,      0.3363912559,       2.535093707
          0,           0,          93,      -1.419168107,      0.1167837489,       0.329481639,       2.610558135
          0,           0,          94,      -1.430161393,      0.1021801898,      0.3349328283,       2.545821572
          0,           0,          95,      -1.403237337,     0.09356007406,      0.3500418216,       2.603400989
          0,           0,          96,      -1.418348889,      0.1093174491,      0.3419473533,       2.696907596
          0,           0,          97,      -1.416651542,     0.04513311215,      0.2912082118,       2.541995849
          0,           0,          98,      -1.411990993,      0.1501391656,      0.2978707239,       2.658749897
          0,           0,          99,      -1.453016289,      0.1457286793,      0.3017952221,        2.71284304
          0,           0,         100,      -1.481772457,      0.2064475819,      0.2706376402,       2.770822951
