x;y;z
0.99548484;-0.06904321;0.0
0.98785863;-0.06641170;0.0
0.97817183;-0.06309589;0.0
0.96848084;-0.05980562;0.0
0.95878584;-0.05654118;0.0
0.94908681;-0.05330285;0.0
0.93938382;-0.05009094;0.0
0.92967687;-0.04690575;0.0
0.91996611;-0.04374760;0.0
0.91025134;-0.04061679;0.0
0.90053273;-0.03751367;0.0
0.89081006;-0.03443855;0.0
0.88108319;-0.03139179;0.0
0.87135222;-0.02837372;0.0
0.86161671;-0.02538470;0.0
0.85187673;-0.02242511;0.0
0.84213207;-0.01949532;0.0
0.83238228;-0.01659571;0.0
0.82262735;-0.01372669;0.0
0.81286695;-0.01088866;0.0
0.80310074;-0.00808204;0.0
0.79332839;-0.00530728;0.0
0.78354958;-0.00256480;0.0
0.77376406;0.00014489;0.0
0.76397130;0.00282135;0.0
0.75417108;0.00546407;0.0
0.74436284;0.00807252;0.0
0.73454626;0.01064619;0.0
0.72472079;0.01318451;0.0
0.71488609;0.01568692;0.0
0.70504172;0.01815282;0.0
0.69518714;0.02058161;0.0
0.68532200;0.02297263;0.0
0.67544575;0.02532524;0.0
0.66555795;0.02763874;0.0
0.65565824;0.02991244;0.0
0.64574597;0.03214559;0.0
0.63582089;0.03433744;0.0
0.62588234;0.03648721;0.0
0.61593016;0.03859408;0.0
0.60596380;0.04065722;0.0
0.59598280;0.04267577;0.0
0.58598698;0.04464881;0.0
0.57597589;0.04657545;0.0
0.56594915;0.04845473;0.0
0.55590651;0.05028568;0.0
0.54584779;0.05206728;0.0
0.53577271;0.05379849;0.0
0.52568110;0.05547826;0.0
0.51557269;0.05710550;0.0
0.50544749;0.05867907;0.0
0.49530543;0.06019784;0.0
0.48514642;0.06166061;0.0
0.47497058;0.06306615;0.0
0.46477782;0.06441325;0.0
0.45456835;0.06570061;0.0
0.44434238;0.06692692;0.0
0.43410012;0.06809084;0.0
0.42384188;0.06919099;0.0
0.41356795;0.07022596;0.0
0.40327883;0.07119428;0.0
0.39297482;0.07209448;0.0
0.38265662;0.07292501;0.0
0.37232482;0.07368430;0.0
0.36198000;0.07437071;0.0
0.35162296;0.07498257;0.0
0.34125446;0.07551813;0.0
0.33087539;0.07597559;0.0
0.32048671;0.07635308;0.0
0.31008950;0.07664865;0.0
0.29968472;0.07686028;0.0
0.28927372;0.07698582;0.0
0.27885774;0.07702303;0.0
0.26843803;0.07696956;0.0
0.25801611;0.07682290;0.0
0.24759350;0.07658039;0.0
0.23717181;0.07623918;0.0
0.22675283;0.07579620;0.0
0.21633843;0.07524813;0.0
0.20593057;0.07459140;0.0
0.19553137;0.07382204;0.0
0.18514314;0.07293571;0.0
0.17476824;0.07192757;0.0
0.16440941;0.07079220;0.0
0.15406952;0.06952347;0.0
0.14375169;0.06811440;0.0
0.13345938;0.06655693;0.0
0.12319642;0.06484161;0.0
0.11296726;0.06295730;0.0
0.10277679;0.06089058;0.0
0.09263095;0.05862503;0.0
0.08253663;0.05614015;0.0
0.07250235;0.05340972;0.0
0.06253884;0.05039917;0.0
0.05266026;0.04706121;0.0
0.04288622;0.04332800;0.0
0.03324587;0.03909561;0.0
0.02378694;0.03418944;0.0
0.01460040;0.02826939;0.0
0.00879464;0.02354912;0.0
0.00458385;0.01871732;0.0
0.00181194;0.01378490;0.0
0.00032282;0.00876279;0.0
-0.00003960;0.00366188;0.0
0.00065228;-0.00151275;0.0
0.00367223;-0.00685017;0.0
0.01138045;-0.01251543;0.0
0.02616813;-0.01867573;0.0
0.03725405;-0.02139783;0.0
0.04806318;-0.02316905;0.0
0.05868632;-0.02433178;0.0
0.06917104;-0.02506287;0.0
0.07954636;-0.02546838;0.0
0.08983172;-0.02561830;0.0
0.10004118;-0.02556201;0.0
0.11018525;-0.02533607;0.0
0.12027235;-0.02496870;0.0
0.13030923;-0.02448231;0.0
0.14030172;-0.02389520;0.0
0.15025459;-0.02322259;0.0
0.16017213;-0.02247741;0.0
0.17005807;-0.02167081;0.0
0.17991576;-0.02081253;0.0
0.18974818;-0.01991118;0.0
0.19955812;-0.01897444;0.0
0.20934820;-0.01800925;0.0
0.21912068;-0.01702191;0.0
0.22887776;-0.01601818;0.0
0.23862149;-0.01500337;0.0
0.24835371;-0.01398240;0.0
0.25807623;-0.01295983;0.0
0.26779074;-0.01193994;0.0
0.27749876;-0.01092675;0.0
0.28720174;-0.00992402;0.0
0.29690114;-0.00893530;0.0
0.30659812;-0.00796399;0.0
0.31629386;-0.00701326;0.0
0.32598965;-0.00608616;0.0
0.33568639;-0.00518558;0.0
0.34538509;-0.00431427;0.0
0.35508668;-0.00347485;0.0
0.36479198;-0.00266983;0.0
0.37450172;-0.00190159;0.0
0.38421665;-0.00117243;0.0
0.39393731;-0.00048452;0.0
0.40366427;0.00016007;0.0
0.41339819;0.00075935;0.0
0.42313933;0.00131142;0.0
0.43288817;0.00181449;0.0
0.44264499;0.00226684;0.0
0.45241008;0.00266685;0.0
0.46218363;0.00301301;0.0
0.47196585;0.00330382;0.0
0.48175693;0.00353793;0.0
0.49155679;0.00371406;0.0
0.50136554;0.00383100;0.0
0.51118310;0.00388762;0.0
0.52100941;0.00388288;0.0
0.53084449;0.00381582;0.0
0.54068808;0.00368555;0.0
0.55054003;0.00349129;0.0
0.56040008;0.00323231;0.0
0.57026809;0.00290796;0.0
0.58014383;0.00251768;0.0
0.59002694;0.00206098;0.0
0.59991702;0.00153748;0.0
0.60981392;0.00094684;0.0
0.61971725;0.00028880;0.0
0.62962647;-0.00043677;0.0
0.63954149;-0.00122999;0.0
0.64946170;-0.00209086;0.0
0.65938692;-0.00301933;0.0
0.66931653;-0.00401525;0.0
0.67925027;-0.00507839;0.0
0.68918774;-0.00620849;0.0
0.69912848;-0.00740517;0.0
0.70907222;-0.00866797;0.0
0.71901848;-0.00999641;0.0
0.72896691;-0.01138989;0.0
0.73891725;-0.01284775;0.0
0.74886906;-0.01436927;0.0
0.75882208;-0.01595364;0.0
0.76877588;-0.01760001;0.0
0.77873033;-0.01930743;0.0
0.78868499;-0.02107491;0.0
0.79863973;-0.02290138;0.0
0.80859433;-0.02478571;0.0
0.81854858;-0.02672668;0.0
0.82850227;-0.02872303;0.0
0.83845519;-0.03077345;0.0
0.84840743;-0.03287655;0.0
0.85835869;-0.03503086;0.0
0.86830888;-0.03723487;0.0
0.87825822;-0.03948701;0.0
0.88820641;-0.04178565;0.0
0.89815367;-0.04412911;0.0
0.90810002;-0.04651561;0.0
0.91804540;-0.04894335;0.0
0.92799012;-0.05141047;0.0
0.93793414;-0.05391503;0.0
0.94787778;-0.05645506;0.0
0.95782118;-0.05902850;0.0
0.96776461;-0.06163327;0.0
0.97770819;-0.06426721;0.0
0.98765230;-0.06692809;0.0
0.99548484;-0.06904321;0.0
146.588.095;-0.40612732;0.0
146.167.532;-0.40235853;0.0
145.632.608;-0.39758866;0.0
145.096.720;-0.39283413;0.0
144.559.871;-0.38809518;0.0
144.022.053;-0.38337198;0.0
143.483.263;-0.37866475;0.0
142.943.491;-0.37397368;0.0
142.402.740;-0.36929902;0.0
141.860.987;-0.36464092;0.0
141.318.234;-0.35999963;0.0
140.774.459;-0.35537531;0.0
140.229.643;-0.35076815;0.0
139.683.783;-0.34617838;0.0
139.136.842;-0.34160612;0.0
138.588.813;-0.33705164;0.0
138.039.672;-0.33251511;0.0
137.489.382;-0.32799665;0.0
136.937.928;-0.32349654;0.0
136.385.280;-0.31901494;0.0
135.831.405;-0.31455202;0.0
135.276.268;-0.31010800;0.0
134.719.837;-0.30568304;0.0
134.162.084;-0.30127742;0.0
133.602.961;-0.29689127;0.0
133.042.440;-0.29252486;0.0
132.480.471;-0.28817839;0.0
131.917.020;-0.28385209;0.0
131.352.035;-0.27954618;0.0
130.785.480;-0.27526093;0.0
130.217.309;-0.27099661;0.0
129.647.471;-0.26675347;0.0
129.075.927;-0.26253182;0.0
128.502.622;-0.25833194;0.0
127.927.511;-0.25415415;0.0
127.350.550;-0.24999881;0.0
126.771.678;-0.24586622;0.0
126.190.857;-0.24175680;0.0
125.608.025;-0.23767087;0.0
125.023.148;-0.23360891;0.0
124.436.170;-0.22957132;0.0
123.847.035;-0.22555852;0.0
123.255.708;-0.22157106;0.0
122.662.137;-0.21760938;0.0
122.066.269;-0.21367402;0.0
121.468.063;-0.20976551;0.0
120.867.480;-0.20588448;0.0
120.264.472;-0.20203152;0.0
119.659.002;-0.19820725;0.0
119.051.021;-0.19441231;0.0
118.440.499;-0.19064744;0.0
117.827.401;-0.18691335;0.0
117.211.689;-0.18321079;0.0
116.593.336;-0.17954057;0.0
115.972.305;-0.17590347;0.0
115.348.574;-0.17230037;0.0
114.722.121;-0.16873218;0.0
114.092.922;-0.16519982;0.0
113.460.960;-0.16170426;0.0
112.826.216;-0.15824650;0.0
112.188.682;-0.15482761;0.0
111.548.338;-0.15144862;0.0
110.905.186;-0.14811073;0.0
110.259.221;-0.14481511;0.0
109.610.438;-0.14156297;0.0
108.958.841;-0.13835562;0.0
108.304.434;-0.13519438;0.0
107.647.223;-0.13208065;0.0
106.987.221;-0.12901592;0.0
106.324.444;-0.12600172;0.0
105.658.899;-0.12303962;0.0
104.990.614;-0.12013137;0.0
104.319.610;-0.11727876;0.0
103.645.902;-0.11448364;0.0
102.969.522;-0.11174804;0.0
102.290.493;-0.10907411;0.0
101.608.844;-0.10646409;0.0
100.924.606;-0.10392048;0.0
100.237.810;-0.10144590;0.0
0.99548484;-0.09904321;0.0
0.98856659;-0.09671554;0.0
0.98162364;-0.09446631;0.0
0.97465623;-0.09229929;0.0
0.96766462;-0.09021872;0.0
0.96064903;-0.08822933;0.0
0.95360955;-0.08633648;0.0
0.94654624;-0.08454630;0.0
0.93945900;-0.08286594;0.0
0.93234767;-0.08130378;0.0
0.92521177;-0.07986982;0.0
0.91805067;-0.07857626;0.0
0.91086325;-0.07743819;0.0
0.90364787;-0.07647486;0.0
0.89640209;-0.07571146;0.0
0.88912219;-0.07518237;0.0
0.88180240;-0.07493667;0.0
0.87443331;-0.07504934;0.0
0.86699829;-0.07564599;0.0
0.85946367;-0.07697074;0.0
0.85443608;-0.07843951;0.0
0.85040723;-0.08041338;0.0
0.84727940;-0.08284291;0.0
0.84495483;-0.08567867;0.0
0.84333578;-0.08887123;0.0
0.84237692;-0.09239767;0.0
0.84287587;-0.09666136;0.0
0.84631056;-0.10240973;0.0
0.85417831;-0.11040001;0.0
0.86059146;-0.11516678;0.0
0.86708426;-0.11924490;0.0
0.87362231;-0.12287993;0.0
0.88018827;-0.12619888;0.0
0.88677206;-0.12927807;0.0
0.89336723;-0.13216793;0.0
0.89996942;-0.13490413;0.0
0.90657549;-0.13751313;0.0
0.91318322;-0.14001539;0.0
0.91979087;-0.14242724;0.0
0.92639723;-0.14476205;0.0
0.93300125;-0.14703094;0.0
0.93960218;-0.14924341;0.0
0.94619940;-0.15140768;0.0
0.95279243;-0.15353093;0.0
0.95938086;-0.15561953;0.0
0.96596439;-0.15767919;0.0
0.97254283;-0.15971510;0.0
0.97911593;-0.16173194;0.0
0.98568355;-0.16373403;0.0
0.99224556;-0.16572535;0.0
0.99880183;-0.16770956;0.0
100.535.226;-0.16969010;0.0
101.189.680;-0.17167021;0.0
101.843.534;-0.17365286;0.0
102.496.778;-0.17564090;0.0
103.149.411;-0.17763702;0.0
103.801.414;-0.17964370;0.0
104.452.779;-0.18166332;0.0
105.103.506;-0.18369820;0.0
105.753.574;-0.18575045;0.0
106.402.973;-0.18782212;0.0
107.051.693;-0.18991515;0.0
107.699.718;-0.19203137;0.0
108.347.030;-0.19417254;0.0
108.993.616;-0.19634033;0.0
109.639.452;-0.19853628;0.0
110.284.518;-0.20076190;0.0
110.928.801;-0.20301864;0.0
111.572.269;-0.20530780;0.0
112.214.903;-0.20763066;0.0
112.856.675;-0.20998841;0.0
113.497.559;-0.21238218;0.0
114.137.526;-0.21481299;0.0
114.776.550;-0.21728186;0.0
115.414.605;-0.21978972;0.0
116.051.652;-0.22233738;0.0
116.687.665;-0.22492563;0.0
117.322.610;-0.22755520;0.0
117.956.451;-0.23022673;0.0
118.589.167;-0.23294085;0.0
119.220.715;-0.23569805;0.0
119.851.064;-0.23849882;0.0
120.480.179;-0.24134354;0.0
121.108.032;-0.24423260;0.0
121.734.592;-0.24716629;0.0
122.359.826;-0.25014484;0.0
122.983.694;-0.25316838;0.0
123.606.180;-0.25623709;0.0
124.227.250;-0.25935102;0.0
124.846.866;-0.26251013;0.0
125.465.019;-0.26571446;0.0
126.081.670;-0.26896385;0.0
126.696.808;-0.27225820;0.0
127.310.398;-0.27559727;0.0
127.922.428;-0.27898083;0.0
128.532.882;-0.28240860;0.0
129.141.738;-0.28588021;0.0
129.748.991;-0.28939531;0.0
130.354.625;-0.29295343;0.0
130.958.633;-0.29655410;0.0
131.561.016;-0.30019683;0.0
132.161.764;-0.30388103;0.0
132.760.884;-0.30760612;0.0
133.358.371;-0.31137141;0.0
133.954.241;-0.31517626;0.0
134.548.494;-0.31901992;0.0
135.141.151;-0.32290167;0.0
135.732.227;-0.32682070;0.0
136.321.743;-0.33077619;0.0
136.909.718;-0.33476725;0.0
137.496.175;-0.33879298;0.0
138.081.158;-0.34285252;0.0
138.664.687;-0.34694484;0.0
139.246.797;-0.35106893;0.0
139.827.545;-0.35522384;0.0
140.406.956;-0.35940844;0.0
140.985.091;-0.36362169;0.0
141.561.998;-0.36786248;0.0
142.137.722;-0.37212961;0.0
142.712.334;-0.37642196;0.0
143.285.884;-0.38073828;0.0
143.858.447;-0.38507738;0.0
144.430.087;-0.38943798;0.0
145.000.877;-0.39381879;0.0
145.570.886;-0.39821846;0.0
146.140.197;-0.40263566;0.0
146.588.095;-0.40612732;0.0
